year,page,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,1,19.3,34.8,27.2,17.8,15.0,18.2,11.9,16.7,16.9,24.5,15.5,27.3
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,2,28.9,25.1,23.7,27.7,17.0,14.8,13.0,13.0,16.7,27.3,17.7,26.8
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,3,34.2,21.6,21.2,20.2,22.7,11.6,14.5,15.7,17.5,18.6,14.8,23.9
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,4,19.3,22.3,26.8,19.5,23.4,14.9,12.3,15.6,19.4,22.5,18.8,18.0
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,5,20.7,24.4,21.1,20.4,24.1,13.2,14.5,17.0,17.5,22.7,24.4,19.5
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,6,20.3,19.2,21.3,18.5,24.1,15.2,14.5,13.7,22.9,16.4,16.6,22.6
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,7,24.2,20.7,23.7,17.6,18.8,12.4,15.0,14.8,19.3,15.7,17.5,21.6
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,8,24.1,21.0,17.6,20.3,23.5,13.2,11.9,15.5,17.7,18.2,16.9,29.8
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,9,26.6,18.8,16.7,22.6,17.6,10.7,12.7,16.8,15.0,17.4,18.7,38.4
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,10,25.6,24.8,20.6,28.3,17.6,13.5,12.6,19.2,17.7,22.3,22.8,41.8
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,11,22.6,26.6,23.2,29.0,21.6,11.9,9.5,16.1,19.3,22.1,32.0,25.2
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,12,17.4,36.9,25.5,22.8,18.7,12.7,14.2,15.7,14.1,16.6,28.1,20.9
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,13,20.4,29.0,29.7,22.8,20.9,13.5,12.2,14.4,16.6,19.2,37.8,17.1
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,14,25.1,37.4,22.3,32.2,21.7,13.4,16.7,15.7,19.6,16.7,18.7,20.9
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,15,20.6,22.8,25.8,30.0,21.7,14.1,17.6,12.6,14.3,22.0,19.8,19.7
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,16,19.0,22.4,20.0,23.1,21.6,16.1,16.8,14.0,19.2,15.6,37.8,14.8
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,17,33.7,22.6,31.0,30.2,16.0,14.0,15.7,16.6,18.7,16.6,32.3,17.7
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,18,25.0,24.3,36.1,25.2,14.7,14.7,13.9,19.2,16.4,21.2,32.7,17.6
1980,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=122&p_display_type=dailyDataFile&p_startYear=1980&p_c=-1514873801&p_stn_num=087031,19,20.5,31.5,22.9,23.8,17.4,12.8,13.6,20.7,16.3,26.2,19.5,24.2
